Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,13/02/2025,people,"15,414"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,13/02/2025,people,"23,412"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,13/02/2025,people,"23,555"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,13/02/2025,people,"2,854"
River,within Bangkok,Public,จท.,Regional boats,13/02/2025,people,"203,598"
Railway,Inter-provincial travel,Public,รฟท.,Trains,13/02/2025,people,"75,900"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,13/02/2025,people,"531,308"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,13/02/2025,people,"84,319"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,13/02/2025,people,"51,064"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,13/02/2025,people,"68,110"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,13/02/2025,people,"81,974"
Railway,within Bangkok,Public,กทม.,BTS electric trains,13/02/2025,people,"854,296"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,13/02/2025,people,"40,606"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,13/02/2025,people,"19,787"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,13/02/2025,people,"26,823"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,13/02/2025,people,"28,489"
Air,Inter-provincial travel,Public,ทย.,Regional airports,13/02/2025,people,"18,482"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,13/02/2025,people,262
Air,Inter-provincial travel,Public,กพท.,Samui Airport,13/02/2025,people,"4,315"
road,International traveling,Public,บขส.,Bus Inbound,13/02/2025,people,789
road,International traveling,Public,บขส.,Bus Outbound,13/02/2025,people,"1,963"
Railway,International traveling,Public,รฟท.,Train Inbound,13/02/2025,people,398
Railway,International traveling,Public,รฟท.,Train Outbound,13/02/2025,people,348
River,International traveling,Public,จท.,Border Port Inbound,13/02/2025,people,"2,699"
River,International traveling,Public,จท.,Border Port Outbound,13/02/2025,people,"2,644"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,13/02/2025,people,"77,340"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,13/02/2025,people,"64,245"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,13/02/2025,people,"19,405"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,13/02/2025,people,"17,799"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,13/02/2025,people,"25,119"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,13/02/2025,people,"25,322"
Air,International traveling,Public,ทย.,Regional Airports Inbound,13/02/2025,people,"1,730"
Air,International traveling,Public,ทย.,Regional Airports Outbound,13/02/2025,people,"1,698"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,14/02/2025,people,"100,775"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,14/02/2025,people,"1,857"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),14/02/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),14/02/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),14/02/2025,Units,"1,814,476"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),14/02/2025,Units,"1,889,611"
road,within Bangkok,Public,ขบ.,Category 4,14/02/2025,people,906
road,within Bangkok,Public,ขสมก.,BMTA buses,14/02/2025,people,"578,865"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),14/02/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),14/02/2025,people,"388,107"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,14/02/2025,people,"15,780"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,14/02/2025,people,"23,449"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,14/02/2025,people,"24,774"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,14/02/2025,people,"2,570"
River,within Bangkok,Public,จท.,Regional boats,14/02/2025,people,"210,484"
Railway,Inter-provincial travel,Public,รฟท.,Trains,14/02/2025,people,"88,953"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,14/02/2025,people,"576,375"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,14/02/2025,people,"88,251"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,14/02/2025,people,"57,127"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,14/02/2025,people,"78,652"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,14/02/2025,people,"89,824"
Railway,within Bangkok,Public,กทม.,BTS electric trains,14/02/2025,people,"972,455"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,14/02/2025,people,"47,098"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,14/02/2025,people,"19,595"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,14/02/2025,people,"29,225"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,14/02/2025,people,"28,492"
Air,Inter-provincial travel,Public,ทย.,Regional airports,14/02/2025,people,"20,365"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,14/02/2025,people,123
Air,Inter-provincial travel,Public,กพท.,Samui Airport,14/02/2025,people,"4,952"
road,International traveling,Public,บขส.,Bus Inbound,14/02/2025,people,762
road,International traveling,Public,บขส.,Bus Outbound,14/02/2025,people,"1,625"
Railway,International traveling,Public,รฟท.,Train Inbound,14/02/2025,people,379
Railway,International traveling,Public,รฟท.,Train Outbound,14/02/2025,people,373
River,International traveling,Public,จท.,Border Port Inbound,14/02/2025,people,"2,697"
River,International traveling,Public,จท.,Border Port Outbound,14/02/2025,people,"2,600"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,14/02/2025,people,"82,276"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,14/02/2025,people,"65,121"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,14/02/2025,people,"21,815"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,14/02/2025,people,"18,794"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,14/02/2025,people,"24,649"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,14/02/2025,people,"24,758"
Air,International traveling,Public,ทย.,Regional Airports Inbound,14/02/2025,people,956
Air,International traveling,Public,ทย.,Regional Airports Outbound,14/02/2025,people,"1,015"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,15/02/2025,people,"99,214"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,15/02/2025,people,"5,347"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),15/02/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),15/02/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),15/02/2025,Units,"1,501,233"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),15/02/2025,Units,"1,560,465"
road,within Bangkok,Public,ขบ.,Category 4,15/02/2025,people,559
road,within Bangkok,Public,ขสมก.,BMTA buses,15/02/2025,people,"441,890"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),15/02/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),15/02/2025,people,"309,103"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,15/02/2025,people,"8,556"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,15/02/2025,people,"7,550"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,15/02/2025,people,"24,447"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,15/02/2025,people,"3,315"
River,within Bangkok,Public,จท.,Regional boats,15/02/2025,people,"202,654"
Railway,Inter-provincial travel,Public,รฟท.,Trains,15/02/2025,people,"76,848"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,15/02/2025,people,"349,827"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,15/02/2025,people,"47,892"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,15/02/2025,people,"39,069"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,15/02/2025,people,"44,092"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,15/02/2025,people,"66,873"
Railway,within Bangkok,Public,กทม.,BTS electric trains,15/02/2025,people,"626,977"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,15/02/2025,people,"28,146"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,15/02/2025,people,"20,305"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,15/02/2025,people,"28,307"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,15/02/2025,people,"28,646"
Air,Inter-provincial travel,Public,ทย.,Regional airports,15/02/2025,people,"19,625"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,15/02/2025,people,139
Air,Inter-provincial travel,Public,กพท.,Samui Airport,15/02/2025,people,"4,461"
road,International traveling,Public,บขส.,Bus Inbound,15/02/2025,people,678
road,International traveling,Public,บขส.,Bus Outbound,15/02/2025,people,"1,401"
Railway,International traveling,Public,รฟท.,Train Inbound,15/02/2025,people,455
Railway,International traveling,Public,รฟท.,Train Outbound,15/02/2025,people,442
River,International traveling,Public,จท.,Border Port Inbound,15/02/2025,people,"2,386"
River,International traveling,Public,จท.,Border Port Outbound,15/02/2025,people,"2,423"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,15/02/2025,people,"82,128"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,15/02/2025,people,"69,701"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,15/02/2025,people,"21,045"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,15/02/2025,people,"18,928"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,15/02/2025,people,"25,825"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,15/02/2025,people,"27,816"
Air,International traveling,Public,ทย.,Regional Airports Inbound,15/02/2025,people,"1,081"
Air,International traveling,Public,ทย.,Regional Airports Outbound,15/02/2025,people,"1,281"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,16/02/2025,people,"99,268"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,16/02/2025,people,"1,600"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),16/02/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),16/02/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),16/02/2025,Units,"1,353,578"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),16/02/2025,Units,"1,387,268"
road,within Bangkok,Public,ขบ.,Category 4,16/02/2025,people,592
road,within Bangkok,Public,ขสมก.,BMTA buses,16/02/2025,people,"406,252"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),16/02/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),16/02/2025,people,"277,164"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,16/02/2025,people,"7,406"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,16/02/2025,people,"7,100"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,16/02/2025,people,"24,851"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,16/02/2025,people,"3,580"
River,within Bangkok,Public,จท.,Regional boats,16/02/2025,people,"206,221"
Railway,Inter-provincial travel,Public,รฟท.,Trains,16/02/2025,people,"82,460"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,16/02/2025,people,"292,605"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,16/02/2025,people,"41,937"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,16/02/2025,people,"33,698"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,16/02/2025,people,"36,827"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,16/02/2025,people,"63,939"
Railway,within Bangkok,Public,กทม.,BTS electric trains,16/02/2025,people,"521,271"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,16/02/2025,people,"25,814"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,16/02/2025,people,"19,895"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,16/02/2025,people,"29,964"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,16/02/2025,people,"28,615"
Air,Inter-provincial travel,Public,ทย.,Regional airports,16/02/2025,people,"20,352"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,16/02/2025,people,319
Air,Inter-provincial travel,Public,กพท.,Samui Airport,16/02/2025,people,"4,462"
road,International traveling,Public,บขส.,Bus Inbound,16/02/2025,people,704
road,International traveling,Public,บขส.,Bus Outbound,16/02/2025,people,"1,282"
Railway,International traveling,Public,รฟท.,Train Inbound,16/02/2025,people,351
Railway,International traveling,Public,รฟท.,Train Outbound,16/02/2025,people,466
River,International traveling,Public,จท.,Border Port Inbound,16/02/2025,people,"2,591"
River,International traveling,Public,จท.,Border Port Outbound,16/02/2025,people,"2,456"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,16/02/2025,people,"84,992"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,16/02/2025,people,"73,976"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,16/02/2025,people,"20,272"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,16/02/2025,people,"20,735"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,16/02/2025,people,"24,848"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,16/02/2025,people,"27,336"
Air,International traveling,Public,ทย.,Regional Airports Inbound,16/02/2025,people,992
Air,International traveling,Public,ทย.,Regional Airports Outbound,16/02/2025,people,"1,321"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,17/02/2025,people,"102,242"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,17/02/2025,people,"5,640"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),17/02/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),17/02/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),17/02/2025,Units,"1,434,959"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),17/02/2025,Units,"1,494,249"
road,within Bangkok,Public,ขบ.,Category 4,17/02/2025,people,963
